cartodb_id,the_geom,pop2000,fips,county,state,in_per_capita,in_pop,transport,nonroad,unknown,aircraft,cement,onroad,electricityprod,residential,industrial,commercial,total_per_capita,total
340,,13332,12045,Gulf County,FL,1.42290871,9.497922439,2.664725678,0.506922491,0,0,0,2.157803187,0,0.038172075,1.384302974,0.061970917,4.149171644,55316.75635
1261,,36079,26063,Huron County,MI,1.7953999,10.49346626,1.982008771,0.616080396,0.08331716,0.033145443,0,1.249465772,1.927860487,0.511869497,1.37940642,0.220737218,6.021882393,217263.4948
1311,,2061162,26163,Wayne County,MI,1.461473521,14.53878046,1.665183491,0.084493311,0.189681041,0.075459361,0,1.315549779,1.122399982,0.633485716,0.697089928,0.194150011,4.312309128,8888367.706
1378,,56665,27131,Rice County,MN,1.561159228,10.94491202,2.047346984,0.243726143,0.089483549,0.035598561,0,1.678538731,0.000663312,0.504574483,1.706917956,0.504838269,4.764341003,269971.3829
2722,,47372,48401,Rusk County,TX,4.652845479,10.76578662,1.820055267,0.100805814,0.056605382,0.022518885,0,1.640125186,101.0293084,0.222408663,1.736417343,0.074814015,104.8830037,4968517.652
2965,,74698,53025,Grant County,WA,1.254805734,11.2212086,3.166168963,0.403074641,0.651910521,0.2593446,0,1.851839201,0,0.014139453,0.234750895,0.092097674,3.507156985,261977.6125
1,,43671,1001,Autauga County,AL,1.769143847,10.68443955,1.902298137,0.111878962,0.056167233,0.022344572,0,1.711907369,3.560906606,0.232385318,0.101527345,0.068711759,5.865829163,256166.6254
2,,140415,1003,Baldwin County,AL,1.164714729,11.8523576,2.783541251,0.352173997,0.319406086,0.127066885,0,1.984894283,0,0.227528835,0.084632531,0.109305839,3.205008455,450031.2623
3,,29038,1005,Barbour County,AL,1.230248295,10.2763606,2.845470578,0.215856222,0.473422422,0.188338059,0,1.967853874,0,0.216389794,0.294629655,0.065589089,3.422079117,99370.33339
4,,20826,1007,Bibb County,AL,0.791244373,9.943957485,1.869770846,0.089217401,0.045897104,0.018258901,0,1.716397441,0,0.221568766,0.07788641,0.036913957,2.20613998,45945.07122
5,,51024,1009,Blount County,AL,0.810688486,10.84005139,1.814896435,0.081439789,0.014682095,0.005840861,0,1.712933689,0,0.218762053,0.177552731,0.038244955,2.249456173,114776.2518
6,,11714,1011,Bullock County,AL,0.984112402,9.368539987,2.108124282,0.118148672,0,0,0,1.98997561,0,0.227595685,0.298530268,0.041185884,2.675436119,31340.0587
7,,21399,1013,Butler County,AL,1.521722366,9.971099471,4.116532548,0.166184135,0.06235778,0.024807325,0,3.863183308,0,0.236214973,0.150067154,0.077292352,4.580107027,98009.71027
8,,112249,1015,Calhoun County,AL,1.425530019,11.6284749,3.391368491,0.141060972,0.113093047,0.044990946,0,3.092223526,0,0.244346586,0.412305156,0.112041937,4.16006217,466962.8186
9,,36583,1017,Chambers County,AL,0.836544052,10.50733893,1.701543436,0.108614165,0.024368404,0.009694282,0,1.558866584,0,0.23399262,0.306400753,0.06643874,2.30837555,84447.30275
10,,23988,1019,Cherokee County,AL,0.950639137,10.08530898,2.262963143,0.313319989,0.060717389,0.024154732,0,1.864771033,0,0.215104362,0.073517278,0.035778028,2.587362811,62065.65911
11,,39593,1021,Chilton County,AL,1.471903083,10.58640761,2.726970901,0.103967103,0.163064037,0.064870511,0,2.39506925,0,0.223591208,1.357980021,0.04897785,4.357519979,172527.2885
12,,15922,1023,Choctaw County,AL,1.299167216,9.67545708,2.138483806,0.308092038,0.032542176,0.012945998,0,1.784903594,0,0.229159316,1.255505556,0.043093532,3.66624221,58373.90846
13,,27867,1025,Clarke County,AL,1.029026228,10.23519847,1.899546306,0.222924814,0.03914252,0.015571772,0,1.621907199,0.023986483,0.242736313,0.557641558,0.074428904,2.798339564,77981.32863
14,,14254,1027,Clay County,AL,0.989522814,9.564792848,2.058726298,0.167496663,0.056064073,0.02230348,0,1.812862082,0,0.231207689,0.353352019,0.046664553,2.689950559,38342.55527
15,,14123,1029,Cleburne County,AL,1.593407558,9.555559953,4.440489431,0.093946433,0,0,0,4.346542999,0,0.24056888,0.213385221,0.026043708,4.920487241,69492.0413
16,,43615,1031,Coffee County,AL,1.103318823,10.68315641,2.458874048,0.15207699,0.511394653,0.203444239,0,1.591958166,0,0.227561645,0.244103215,0.083613973,3.014152882,131462.2779
