Service Request#;Incident Date;BLDG#;Street;Boro;Zip;Cross Streets;Cleaning Methods;San Dist;CB;Precinct;Council Dist;City Owned;xcoord;ycoord;On Roll Down Gate;Cherry Picker;Above 3rd Floor;LM
G54028;4/29/2010;69;WILSON AVENUE;BROOKLYN;11237;JEFFERSON STREET / TROUTMAN STREET;"Paint No preference Beige; ";304;4;83;34;FALSE;1004199;195148;No;No;No;FALSE
G66848;1/10/2011;546;ISHAM STREET;MANHATTAN;10034;SHERMAN AVENUE / VERMILYEA AVENUE;;112;12;34;10;FALSE;1006553;255142;No;No;No;FALSE
G70095;4/8/2011;4847;BROADWAY;MANHATTAN;10034;ACADEMY STREET / WEST  204 STREET;"Paint Gray ; ";112;12;34;07;FALSE;1005030;255043;No;No;No;FALSE
G79515;10/21/2011;1014A;WESTCHESTER AVENUE;BRONX;10459;FOX STREET / EAST  165 STREET;;202;2;41;17;FALSE;1013752;239345;Yes;No;No;FALSE
G83158;1/31/2012;344;AVENUE U;BROOKLYN;11223;MC DONALD AVENUE / WEST STREET;;315;15;61;47;FALSE;992089;156688;No;No;No;FALSE
G128005;1/23/2015;237;WEST  138 STREET;MANHATTAN;10030;ADAM CLAYTON POWELL JR BOULEVARD / FREDERICK DOUGLASS BOULEVARD;;110;10;32;09;FALSE;999838;237322;No;No;No;FALSE
G128034;1/23/2015;7623;5 AVENUE;BROOKLYN;11209;76 STREET / 77 STREET;;310;10;68;43;FALSE;977883;168069;No;No;No;FALSE
G128230;1/28/2015;410;54 STREET;BROOKLYN;11220;4 AVENUE / 5 AVENUE;;307;7;72;38;FALSE;980166;173858;No;No;No;FALSE
G128242;1/28/2015;570;WEST  161 STREET;MANHATTAN;10032;AMSTERDAM AVENUE / BROADWAY;;112;12;33;07;FALSE;1000206;243862;No;No;No;FALSE
G128363;1/28/2015;39-19;FRANCIS LEWIS BOULEVARD;QUEENS;11361;LIRR PORT WASHINGTON LINE / STATION ROAD;;411;11;111;19;FALSE;1043867;216870;No;No;No;FALSE
G128459;1/30/2015;251;EAST   35 STREET;MANHATTAN;10016;QUEENS MIDTOWN TUNNEL EXIT / 2 AVENUE;;106;6;17;04;FALSE;991018;210937;Yes;No;No;FALSE
G128461;1/30/2015;1071;OGDEN AVENUE;BRONX;10452;WEST  165 STREET / WEST  166 STREET;;204;04;44;08;FALSE;1004025;243504;Yes;No;No;FALSE
G128462;1/30/2015;1055;OGDEN AVENUE;BRONX;10452;WEST  165 STREET / WEST  166 STREET;;204;4;44;17;FALSE;1003977;243377;Yes;No;No;FALSE
G128464;1/30/2015;1416;INWOOD AVENUE;BRONX;10452;WEST  170 STREET / MACOMBS ROAD;;204;4;44;16;FALSE;1006801;245633;No;No;No;FALSE
G128465;1/30/2015;1419;INWOOD AVENUE;BRONX;10452;WEST  170 STREET / MACOMBS ROAD;;204;04;44;16;FALSE;1006728;245797;Yes;No;No;FALSE
G128466;1/30/2015;45;GOBLE PLACE;BRONX;10452;INWOOD AVENUE / JEROME AVENUE;;204;04;44;14;FALSE;1007216;246885;Yes;No;No;FALSE
G128468;1/30/2015;1431;OGDEN AVENUE;BRONX;10452;BEND / DR M L KING JR BOULEVARD;;204;4;44;16;FALSE;1005244;246420;No;No;No;FALSE
G128470;1/30/2015;379;EAST  169 STREET;BRONX;10456;TELLER AVENUE / CLAY AVENUE;;204;4;44;16;FALSE;1009229;243290;Yes;No;No;FALSE
G128471;1/30/2015;363;EAST  169 STREET;BRONX;10456;FINDLAY AVENUE / TELLER AVENUE;;204;04;44;16;FALSE;1009003;243414;No;No;No;FALSE
G128473;1/30/2015;27;EAST  169 STREET;BRONX;10452;GERARD AVENUE / WALTON AVENUE;;204;04;44;16;FALSE;1006774;244483;Yes;No;No;FALSE
G128479;1/30/2015;494;BERGEN AVENUE;BRONX;10455;EAST  147 STREET / EAST  148 STREET;;201;01;40;08;FALSE;1006912;236111;Yes;No;No;FALSE
G128485;1/30/2015;1662;WHITEPLAINS ROAD;BRONX;10462;BAKER AVENUE / MEAD STREET;;211;11;49;13;FALSE;1021602;246474;No;No;No;FALSE
G128490;1/30/2015;1549;WHITE PLAINS ROAD;BRONX;10462;ARCHER STREET / GUERLAIN STREET;;209;09;43;18;FALSE;1021854;245015;No;No;No;FALSE
G128491;1/30/2015;1548;WHITE PLAINS ROAD;BRONX;10462;ARCHER STREET / GUERLAIN STREET;;209;09;43;18;FALSE;1022030;245087;No;No;No;FALSE
G128492;1/30/2015;1511;WHITE PLAINS ROAD;BRONX;10462;ARCHER STREET / GUERLAIN STREET;;209;9;43;18;FALSE;1021905;244635;No;No;No;FALSE
