,Service Request#,Incident Date,BLDG#,Street,Boro,Zip,Cross Streets,Cleaning Methods,San Dist,CB,Precinct,Council Dist,City Owned,xcoord,ycoord,On Roll Down Gate,Cherry Picker,Above 3rd Floor,LM,cluster
0,G51871,4/6/2010,1324,HANCOCK STREET,BROOKLYN,11237,KNICKERBOCKER AVENUE / IRVING AVENUE,,304,4,83,37,False,1009468,192143,No,No,No,False,7
1,G84575,3/20/2012,120,AVENUE M,BROOKLYN,11230,MC DONALD AVENUE / EAST    2 STREET,,312,12,66,44,False,991516,163791,No,No,No,False,5
2,G137055,8/18/2015,3305,3 AVENUE,BRONX,10456,EAST 164 STREET / WEIHER COURT,,203,3,42,16,False,1009624,240185,No,No,No,False,20
3,G137126,8/20/2015,1704,BATH AVENUE,BROOKLYN,11214,17 AVENUE / BAY   16 STREET,,311,11,62,43,False,981924,159660,No,No,No,False,5
4,G137328,8/27/2015,709,53 STREET,BROOKLYN,11220,7 AVENUE / 8 AVENUE,,307,7,72,38,False,982275,172705,No,No,No,False,13
5,G137329,8/27/2015,464,53 STREET,BROOKLYN,11220,4 AVENUE / 5 AVENUE,,307,7,72,38,False,980687,173762,Yes,No,No,False,13
6,G137330,8/27/2015,466,53 STREET,BROOKLYN,11220,4 AVENUE / 5 AVENUE,,307,7,72,38,False,980718,173737,No,No,No,False,13
7,G137336,8/27/2015,262,WEST   15 STREET,MANHATTAN,10011,7 AVENUE / 8 AVENUE,,104,4,10,3,False,983746,208964,No,No,No,False,10
8,G137339,8/27/2015,165,MERCER STREET,MANHATTAN,10012,PRINCE STREET / WEST HOUSTON STREET,,102,2,1,1,False,984764,203606,No,No,No,False,19
9,G137340,8/27/2015,10,LIBERTY STREET,MANHATTAN,10005,GOLD STREET / WILLIAM STREET,,101,1,1,1,False,981978,196988,No,No,No,False,19
10,G137341,8/27/2015,837,EAST   49 STREET,BROOKLYN,11203,AVENUE D / FOSTER AVENUE,,317,17,67,45,False,1003690,172811,No,No,No,False,3
11,G137343,8/27/2015,936,SENECA AVENUE,QUEENS,11385,HANCOCK STREET / WEIRFIELD STREET,,405,5,104,34,False,1011084,194277,No,No,Yes,False,7
12,G137345,8/27/2015,442,GRAND STREET,BROOKLYN,11211,KEAP STREET / GRAND ST EXTENSION,,301,1,90,34,False,997291,198347,No,No,No,False,1
13,G137347,8/27/2015,883,LEXINGTON AVENUE,BROOKLYN,11221,PATCHEN AVENUE / BEND,,303,3,81,41,False,1004919,190976,Yes,No,No,False,7
14,G137354,8/27/2015,43,ESSEX STREET,MANHATTAN,10002,HESTER STREET / GRAND STREET,,103,3,7,1,False,987119,200269,Yes,No,No,False,19
15,G137356,8/27/2015,504,GRAND STREET,MANHATTAN,10002,EAST BROADWAY / COLUMBIA STREET,,103,3,7,1,False,989287,199791,Yes,No,No,False,19
16,G137357,8/27/2015,92,RIVINGTON STREET,MANHATTAN,10002,ORCHARD STREET / LUDLOW STREET,,103,3,7,1,False,987394,201719,Yes,No,No,False,19
17,G137363,8/28/2015,2071,BATHGATE AVENUE,BRONX,10457,EAST  179 STREET / EAST  180 STREET,,206,6,48,15,False,1013200,249193,No,No,No,False,15
18,G137364,8/28/2015,176,BORINQUEN PLACE,BROOKLYN,11211,KEAP STREET / SOUTH    1 STREET,,301,1,90,34,False,997229,198141,Yes,No,No,False,1
19,G137366,8/28/2015,50,BOWERY,MANHATTAN,10013,MANHATTAN BRIDGE / CANAL STREET,,103,3,5,1,False,985129,200132,No,No,No,False,19
20,G137369,8/28/2015,94,JOHN STREET,STATEN ISLAND,10302,RICHMOND TERRACE / BEND,,501,1,121,49,False,944417,171226,No,No,No,False,2
21,G137370,8/28/2015,912,MANHATTAN AVENUE,BROOKLYN,11222,GREENPOINT AVENUE / KENT STREET,,301,1,94,33,False,996994,205462,No,No,No,False,1
22,G137371,8/28/2015,6719,13 AVENUE,BROOKLYN,11219,67 STREET / OVINGTON AVENUE,,310,10,68,43,False,983450,166718,Yes,No,No,False,5
23,G137374,8/28/2015,4322,8 AVENUE,BROOKLYN,11232,43 STREET / 44 STREET,,307,7,72,38,False,984168,174172,Yes,No,No,False,13
24,G137383,8/28/2015,768,40 STREET,BROOKLYN,11232,7 AVENUE / 8 AVENUE,,307,7,72,38,False,984701,174931,Yes,No,No,False,13
25,G137387,8/29/2015,47-27,21 STREET,QUEENS,11101,JACKSON AVENUE / 47 ROAD,,402,2,108,26,False,998943,210185,No,No,No,False,1
26,G137389,8/29/2015,1734,AMSTERDAM AVENUE,MANHATTAN,10031,WEST  145 STREET / WEST  146 STREET,,109,9,30,7,False,998792,240187,Yes,No,No,False,6
27,G137390,8/29/2015,3426,BROADWAY,MANHATTAN,10031,WEST  139 STREET / WEST  140 STREET,,109,9,30,7,False,997342,239000,No,No,No,False,6
28,G137391,8/29/2015,3656,BROADWAY,MANHATTAN,10031,WEST  150 STREET / WEST  151 STREET,,109,9,30,7,False,998815,241659,No,No,No,False,6
29,G137392,8/29/2015,550,WEST  153 STREET,MANHATTAN,10031,AMSTERDAM AVENUE / BROADWAY,,109,9,30,7,False,999068,242114,No,No,No,False,6
